,Unnamed: 0,Unnamed: 0.1,Business_links,Zipcode_searched,Has_reviews,Actual_Zipcode
199,631,20,https://www.yelp.com/biz/cavnar-plumbing-oklahoma-city?osq=plumbing,73105,No,73116
200,642,31,https://www.yelp.com/biz/smart-guy-plumbing-oklahoma-city?osq=plumbing,73105,Yes,73142
201,647,36,https://www.yelp.com/biz/byrd-s-french-drain-solutions-oklahoma-city?osq=plumbing,73105,No,73114
202,654,43,https://www.yelp.com/biz/silvernail-heat-air-plumbing-oklahoma-city?osq=plumbing,73105,Yes,73156
203,655,44,https://www.yelp.com/biz/cs-plumbing-dale-3?osq=plumbing,73105,Yes,74851
204,659,48,https://www.yelp.com/biz/ct-mep-oklahoma-city?osq=plumbing,73105,No,73121
205,677,66,https://www.yelp.com/biz/water-source-technology-oklahoma-city?osq=plumbing,73105,No,73116
206,681,70,https://www.yelp.com/biz/abobs-plumbing-oklahoma-city?osq=plumbing,73105,No,73107
207,685,74,https://www.yelp.com/biz/silvernail-oklahoma-city?osq=plumbing,73105,No,73116
208,688,77,https://www.yelp.com/biz/mullin-plumbing-oklahoma-city?osq=plumbing,73105,Yes,73112
209,694,83,https://www.yelp.com/biz/platinum-plumbing-oklahoma-city?osq=plumbing,73105,No,73114
210,701,90,https://www.yelp.com/biz/thunder-plumbing-oklahoma-city?osq=plumbing,73105,No,73107
211,702,91,https://www.yelp.com/biz/minor-gerald-plumbing-heating-and-air-conditioning-oklahoma-city?osq=plumbing,73105,No,73113
212,705,94,https://www.yelp.com/biz/pressley-plumbing-moore?osq=plumbing,73105,No,73160
213,709,98,https://www.yelp.com/biz/wood-mark-plumbing-oklahoma-city?osq=plumbing,73105,No,73112
214,710,99,https://www.yelp.com/biz/dks-plumbing-and-filtration-llc-midwest-city?osq=plumbing,73105,No,73110
215,711,100,https://www.yelp.com/biz/advanced-plumbing-and-sewer-service-oklahoma-city?osq=plumbing,73105,No,73107
